title,author,format,status,pct_complete,first_seen,last_seen,events,sources,note_file
The Let Them Theory,Mel Robbins,audiobook,finished,100,2025-06-10,2025-07-03,2,audible; audible-wishlist,
Tiny Experiments: How to Live Freely in a Goal-Obsessed World (Unabridged),,,wishlist,,2025-06-10,,1,audible-wishlist,
Effortless: Make It Easier to Do What Matters Most (Unabridged),Greg McKeown,audiobook,finished,99,2025-06-02,2025-06-03,2,audible; audible-wishlist,
Sing Like Fish,Amorina Kingdon,library,borrowed,,2025-05-30,,1,libby,
Decision Making under Deep Uncertainty: From Theory to Practice,,ebook,owned,,2025-05-23,,2,kindle; kindle-library,
Click: How to Make What People Want,"Jake Knapp, John Zeratsky",library+print,owned,,2025-05-22,2025-06-01,2,amazon-print; libby,
The 4-Hour Body,Timothy Ferriss,library,borrowed,,2025-05-01,,1,libby,
"Desolation Sound & the Discovery Islands: Revised Fifth Edition, updated to 20",,print,owned,,2025-05-01,,1,amazon-print,
A Pattern Language,Christopher Alexander,library,borrowed,,2025-04-24,,1,libby,
HBR's 10 Must Reads on Leadership,"Harvard Business Review, Peter F. Drucker,",library,borrowed,,2025-04-21,,1,libby,
Eat Race Win,"Hannah Grant, Stacy Sims",library,borrowed,,2025-04-21,,1,libby,
The Five Most Important Questions,Peter F. Drucker,library,borrowed,,2025-04-09,,1,libby,
HBR's 10 Must Reads on Innovation,"Harvard Business Review, Peter F. Drucker,",library,borrowed,,2025-04-08,,1,libby,
HBR's 10 Must Reads on Managing Yourself,"Harvard Business Review, Peter F. Drucker,",library,borrowed,,2025-04-08,,1,libby,
The Effective Executive,Peter F. Drucker,library,borrowed,,2025-04-08,,1,libby,
"The Art of the Print: Masterpieces, History, Techniques",,print,owned,,2025-03-30,,1,amazon-print,
"No Self, No Problem: How Neuropsychology is Catching Up to Buddhism (Unabridge",,,wishlist,,2025-03-06,,1,audible-wishlist,
How to Winter,"Kari Leibowitz, PhD",library,borrowed,,2025-02-27,,1,libby,
The Unusual Suspects with Kenya Barris and Malcolm Gladwell Season 1,,,wishlist,,2025-02-22,,1,audible-wishlist,
Exploring Requirements 1: Quality Before Design,,ebook,owned,,2025-02-10,,2,kindle; kindle-library,
The Molecule of More,"Daniel Z. Lieberman, Michael E. Long",library,borrowed,,2025-01-30,,1,libby,
Supercommunicators,Charles Duhigg,library,borrowed,,2025-01-30,,1,libby,
Invisible Women,Caroline Criado-Perez,audiobook+library,owned,,2025-01-29,2026-01-19,3,audible-shared; libby,
Algorithms to Live By: The Computer Science of Human Decisions,"Brian Christian,Tom Griffiths",audiobook+ebook,owned,,2025-01-26,,3,audible; kindle-library; kindle-unlimited,
Rationality,Steven Pinker,library,borrowed,,2025-01-15,2025-02-12,2,libby,
Inner Excellence,Jim Murphy,library,wishlist,,2025-01-14,2025-01-30,2,audible-wishlist; libby,
